Genome	Accession	RefSeq type	Source information	Number of segments	Genome length	Number of proteins	Genome Neighbors	Host	Date completed	Date updated
Cyclovirus NG12	NC_038416	complete	isolate:NG12	-	1794 nt	2	1	human	8/24/18	8/24/18
Cyclovirus NG14	NC_038417	complete	isolate:NG14	-	1795 nt	2	-	human	8/24/18	8/24/18
Cyclovirus PK5006	NC_036877	complete	isolate:PK5006	-	1723 nt	2	-	human	2/16/18	8/13/18
Cyclovirus PK5034	NC_038415	complete	isolate:PK5034	-	1780 nt	2	-	human	8/24/18	8/24/18
Cyclovirus PK5222	NC_038413	complete	isolate:PK5222	-	1740 nt	2	-	human	8/24/18	8/24/18
Cyclovirus PK5510	NC_038412	complete	isolate:PK5510	-	1759 nt	2	-	human	8/24/18	8/24/18
Cyclovirus SL-108277	NC_038418	complete	strain:SL-108277	-	1710 nt	2	-	human	8/24/18	8/24/18
Cyclovirus TN25	NC_038414	complete	isolate:TN25	-	1867 nt	2	1	human	8/24/18	8/24/18
Cyclovirus VN	NC_039215	complete	isolate:hcf2	-	1856 nt	2	22	"human, vertebrates"	8/24/18	8/24/18
Duck coronavirus	NC_048214	complete	isolate:DK/GD/27/2014	-	27754 nt	12	442	"human, vertebrates"	5/15/20	12/31/21
Eastern chimpanzee simian foamy virus	NC_039025	complete	-	-	11954 nt	5	-	human	8/24/18	8/24/18
Eastern equine encephalitis virus	NC_003899	complete	strain:ssp. North American variant	-	11675 nt	4	455	"human, invertebrates, vertebrates"	12/16/91	8/13/18
Ebinur lake virus	-	complete	-	3	12194 nt	3	-	"human, invertebrates, vertebrates"	5/6/23	5/6/23
Echarate virus	-	complete	-	3	12516 nt	4	-	human	6/1/21	6/7/21
Ectromelia virus	NC_004105	complete	strain:Moscow	-	209771 nt	173	4	"human, vertebrates"	1/1/99	10/11/21
Ekpoma virus 1	NC_038282	incomplete	isolate:EKV-1	-	12659 nt	8	-	human	8/24/18	8/24/18
Ekpoma virus 2	NC_038283	complete	isolate:EKV-2	-	12674 nt	8	-	human	8/24/18	8/24/18
Encephalomyocarditis virus	NC_001479	complete	strain:Ruckert	-	7835 nt	2	39	"human, vertebrates"	8/2/93	8/13/18
Enterovirus A	NC_001612	complete	-	-	7413 nt	1	3092	"human, vertebrates"	3/8/94	8/13/18
Enterovirus B	NC_001472	complete	-	-	7389 nt	1	729	"human, vertebrates"	8/2/93	8/13/18
Enterovirus C	NC_002058	complete	strain:Human poliovirus 1 Mahoney	-	7440 nt	1	1571	"human, vertebrates"	11/3/82	8/13/18
Enterovirus C95	NC_075726	incomplete	-	-	894 nt	1	-	"human, vertebrates"	5/4/23	5/5/23
Enterovirus D	NC_001430	complete	strain:Enterovirus 70	-	7390 nt	1	894	human	4/29/93	8/13/18
Enterovirus sp.	NC_024073	complete	isolate:CPML_8109/08	-	7376 nt	1	2	"human, vertebrates"	5/6/14	8/13/18
European bat lyssavirus 2	NC_009528	complete	isolate:RV1333	-	11930 nt	5	30	"human, vertebrates"	6/7/07	8/13/18
Fort Sherman virus	-	complete	strain:86MSP18	3	12294 nt	4	-	"human, vertebrates"	6/28/19	8/22/19
Friend murine leukemia virus	NC_001362	complete	strain:FB29	-	8323 nt	3	59	"human, vertebrates"	10/29/91	8/13/18
GB virus C	NC_001710	complete	-	-	9392 nt	1	76	"human, vertebrates"	1/27/96	8/13/18
GB virus-B	NC_001655	complete	-	-	9399 nt	1	8	"human, vertebrates"	10/7/99	5/23/19
Gammapapillomavirus sp.	-	complete	isolate:Gamma_LCOSOc196	9	65410 nt	60	-	human	2/12/19	9/12/19
Gemycircularvirus C1c	NC_038496	complete	isolate:GemyC1c	-	2109 nt	1	-	"human, vertebrates"	8/24/18	8/24/18
Gemycircularvirus HV-GcV1	NC_030447	complete	isolate:HV-GcV1	-	2264 nt	4	-	human	7/4/16	8/13/18
Gemycircularvirus HV-GcV2	NC_030448	complete	isolate:HV-GcV2	-	2262 nt	3	-	human	7/4/16	8/13/18
Gemycircularvirus SL1	NC_026818	complete	strain:SL1	-	2199 nt	2	9	"human, vertebrates"	4/16/15	8/13/18
Gemycircularvirus sp.	NC_040379	complete	isolate:yc-18	-	2277 nt	2	1	"human, vertebrates"	2/12/19	9/12/19
Gibbon ape leukemia virus	NC_001885	complete	-	-	8088 nt	3	5	"human, vertebrates"	8/2/93	8/13/18
Great Island virus	-	complete	isolate:CanAr 42	10	17858 nt	11	-	"human, invertebrates"	11/16/10	8/13/18
Guaroa virus	-	complete	strain:BeH22063	3	12265 nt	5	-	human	5/5/17	8/25/18
Guenon simian foamy virus	NC_043445	complete	strain:Cercopithecus nictitans; isolate:AG16	-	13072 nt	5	-	human	6/28/19	6/28/19
Gumbo Limbo virus	-	complete	-	3	12513 nt	4	-	"human, invertebrates, vertebrates"	5/6/23	5/6/23
Gyrovirus 4	NC_018401	complete	strain:D137	-	2034 nt	2	4	"human, vertebrates"	8/13/12	8/13/18
Gyrovirus GyV3	NC_017091	complete	strain:FecGy	-	2359 nt	3	4	"human, vertebrates"	7/10/12	8/13/18
Gyrovirus Tu243	NC_022788	complete	strain:Tu243	-	2020 nt	3	-	human	11/12/13	8/13/18
Gyrovirus Tu789	NC_022789	complete	strain:Tu789	-	2282 nt	3	-	human	11/12/13	8/13/18
HMO Astrovirus A	NC_013443	complete	isolate:NI-295	-	6534 nt	3	1	human	10/28/09	8/13/18
Hantavirus Z10	-	complete	strain:Z10	3	11850 nt	3	-	human	11/13/04	8/13/18
Heartland virus	-	complete	isolate:Patient1	3	11567 nt	4	-	"human, invertebrates"	7/24/14	8/13/18
Henipavirus hendraense	NC_001906	complete	-	-	18234 nt	8	4	"human, vertebrates"	7/1/98	8/13/18
Henipavirus nipahense	NC_002728	complete	-	-	18246 nt	9	7	"human, vertebrates"	6/1/00	8/13/18
Hepacivirus platyrrhini	NC_038426	complete	-	-	9143 nt	1	8	human	8/24/18	7/22/19
Hepatitis B virus	NC_003977	complete	strain:ayw	-	3182 nt	7	13312	"human, vertebrates"	6/9/82	3/25/21
Hepatitis C virus (isolate H77)	NC_038882	complete	strain:H77	-	9599 nt	2	2263	"human, vertebrates"	8/24/18	4/22/21
Hepatitis C virus genotype 1	NC_004102	complete	serotype:1a; isolate:H77	-	9646 nt	2	2263	"human, vertebrates"	8/9/97	7/11/19
Hepatitis C virus genotype 2	NC_009823	complete	strain:HC-J6CH	-	9711 nt	2	2263	"human, vertebrates"	10/1/07	5/22/19
Hepatitis C virus genotype 3	NC_009824	complete	isolate:NZL1	-	9456 nt	2	2263	"human, vertebrates"	10/1/07	5/22/19
Hepatitis C virus genotype 4	NC_009825	complete	isolate:ED43	-	9355 nt	2	2263	"human, vertebrates"	7/9/97	5/22/19
Hepatitis C virus genotype 5	NC_009826	complete	strain:EUH1480	-	9343 nt	2	2263	"human, vertebrates"	9/12/97	5/22/19
Hepatitis C virus genotype 6	NC_009827	complete	isolate:Th580	-	9628 nt	2	2263	"human, vertebrates"	10/1/07	5/22/19
Hepatitis C virus genotype 7	NC_030791	complete	isolate:QC69	-	9443 nt	2	2263	"human, vertebrates"	8/19/16	5/28/19
Hepatitis E virus rat/R63/DEU/2009	NC_038504	complete	isolate:R63	-	6965 nt	6	24	"human, vertebrates"	8/24/18	6/4/19
Hepatitis delta virus	NC_001653	complete	-	-	1682 nt	2	694	"human, vertebrates"	4/29/93	1/4/22
Hepatovirus A	NC_001489	complete	-	-	7478 nt	2	138	"human, vertebrates"	8/2/93	8/13/18
Heron hepatitis B virus	NC_001486	complete	-	-	3027 nt	4	3	"human, vertebrates"	8/2/93	8/13/18
Horsepox virus	NC_066642	complete	isolate:MNR-76	-	212633 nt	185	104	"human, vertebrates"	9/29/22	10/9/22
Hudisavirus sp.	NC_035475	complete	isolate:P22	-	2585 nt	2	6	human	8/24/17	12/21/20
Human DNA virus	NC_040309	complete	isolate:IND-KIs-REVA-1990	-	9585 nt	1	-	human	2/12/19	12/21/20
Human T-cell leukemia virus type I	NC_001436	complete	-	-	8507 nt	6	300	"human, vertebrates"	1/21/98	8/13/18
Human T-lymphotropic virus 2	NC_001488	complete	-	-	8952 nt	5	15	"human, vertebrates"	8/2/93	8/13/18
Human T-lymphotropic virus 4	NC_011800	complete	strain:1863LE	-	8791 nt	6	1	human	1/5/09	8/13/18
Human TMEV-like cardiovirus	NC_010810	complete	-	-	7961 nt	1	-	"human, vertebrates"	6/5/08	8/13/18
Human adenovirus 54	NC_012959	complete	strain:Kobe-H	-	34920 nt	36	166	"human, vertebrates"	7/13/09	12/20/20
Human alphaherpesvirus 1	NC_001806	complete	strain:17; common:Herpes simplex virus type 1	-	152222 nt	77	123	"human, vertebrates"	4/3/90	8/13/18
Human alphaherpesvirus 2	NC_001798	complete	strain:HG52	-	154675 nt	77	65	"human, vertebrates"	2/27/97	5/16/16
Human alphaherpesvirus 3	NC_001348	complete	strain:Dumas; common:Varicella-zoster virus	-	124884 nt	73	204	human	9/19/87	8/13/18
Human associated cyclovirus 10	NC_023874	complete	strain:7078A	-	1790 nt	2	3	human	4/3/14	8/13/18
Human associated gemyvongvirus 1	NC_028459	complete	isolate:DB1	-	2272 nt	3	-	human	11/24/15	1/7/19
Human associated huchismacovirus 1	NC_039061	complete	isolate:Oregon/6/2011/GottageGrove/5A1	-	2460 nt	2	-	human	8/24/18	8/24/18
Human associated huchismacovirus 2	NC_039062	complete	isolate:France/8/2008/2444	-	2471 nt	2	-	human	8/24/18	8/24/18
Human associated huchismacovirus 3	NC_039063	complete	isolate:France/1/2009/3664	-	2459 nt	2	-	human	8/24/18	8/24/18
Human astrovirus	NC_001943	complete	type:1	-	6813 nt	2	14	human	11/1/93	8/13/18
Human astrovirus BF34	NC_024472	complete	strain:BF34	-	6577 nt	3	-	human	7/14/14	8/13/18
Human betaherpesvirus 5	NC_006273	complete	strain:Merlin; culture-collection:ATCC:VR-1590	-	235646 nt	169	360	human	9/16/04	8/13/18
Human betaherpesvirus 6A	NC_001664	complete	isolate:U1102	-	159378 nt	88	6	human	6/5/95	1/18/19
Human betaherpesvirus 6B	NC_000898	complete	strain:Z29; type:B	-	162114 nt	104	8	"human, vertebrates"	8/16/99	8/13/18
Human betaherpesvirus 7	NC_001716	complete	strain:RK	-	153080 nt	86	2	human	12/29/95	8/13/18
Human bocavirus 2c PK	NC_012042	complete	isolate:PK-5510	-	5196 nt	4	17	"human, vertebrates"	2/5/09	8/13/18
Human bocavirus 3	NC_012564	complete	strain:W471	-	5242 nt	4	35	"human, vertebrates"	4/17/09	8/13/18
Human bocavirus 4 NI	NC_012729	complete	strain:HBoV4-NI-385	-	5104 nt	5	17	"human, vertebrates"	5/28/09	8/13/18
Human circovirus VS6600022	NC_024694	complete	isolate:VS6600022	-	2836 nt	4	-	human	8/13/14	8/13/18
Human coronavirus 229E	NC_002645	complete	-	-	27317 nt	8	76	"human, vertebrates"	1/11/01	8/17/21
Human coronavirus HKU1	NC_006577	complete	isolate:HKU1	-	29926 nt	9	46	human	12/28/04	11/20/20
Human coronavirus NL63	NC_005831	complete	strain:Amsterdam I	-	27553 nt	7	68	human	3/23/04	11/27/21
Human coronavirus OC43	NC_006213	complete	strain:ATCC VR-759; serotype:OC43	-	30741 nt	10	336	"human, vertebrates"	2/21/19	9/16/20
Human cosavirus	NC_023984	complete	isolate:Cosavirus_Amsterdam_1994	-	7802 nt	1	2	human	4/14/14	8/13/18
Human cosavirus B	NC_012801	complete	strain:HCoSV-B1; isolate:2263	-	7205 nt	1	-	human	6/11/09	8/13/18
Human cyclovirus VS5700009	NC_021568	complete	isolate:VS5700009	-	1832 nt	2	-	human	6/24/13	8/13/18
Human endogenous retrovirus K113	NC_022518	complete	-	-	9472 nt	1	1	human	9/30/13	8/13/18
Human erythrovirus V9	NC_004295	complete	strain:V9	-	5028 nt	6	2	human	9/30/01	8/13/18
Human fecal virus Jorvi2	NC_035212	complete	isolate:Jorvi2	-	3925 nt	5	-	human	7/14/17	6/4/19
Human fecal virus Jorvi3	NC_035213	complete	isolate:Jorvi3	-	1942 nt	2	-	human	7/14/17	6/4/19
Human fecal virus Jorvi4	NC_035211	complete	isolate:Jorvi4	-	2343 nt	2	-	human	7/14/17	6/4/19
Human feces pecovirus	NC_040306	complete	strain:PeCV-NI	-	2928 nt	2	-	human	2/12/19	12/21/20
Human feces smacovirus 3	NC_035474	complete	strain:SmaCV3.21; isolate:P21	-	2560 nt	2	1	human	8/24/17	8/13/18
Human gammaherpesvirus 8	NC_009333	complete	strain:GK18; type:P	-	137969 nt	86	53	"human, vertebrates"	4/3/07	6/4/19
Human gemycircularvirus GeTz1	NC_038497	complete	isolate:GeTz1	-	2202 nt	3	-	human	8/24/18	8/24/18
Human genital-associated circular DNA virus-1	NC_026817	complete	isolate:349	-	2235 nt	3	-	human	4/16/15	8/13/18
Human hepegivirus	NC_038436	complete	isolate:AK-790	-	9538 nt	1	18	human	8/24/18	8/24/18
Human herpesvirus 4 type 2	NC_009334	complete	strain:AG876; common:Epstein-Barr virus type 2	-	172764 nt	80	657	"human, vertebrates"	4/3/07	8/13/18
Human immunodeficiency virus 1	NC_001802	complete	-	-	9181 nt	10	12629	"human, vertebrates"	1/22/98	8/13/18
Human immunodeficiency virus 2	NC_001722	complete	isolate:BEN	-	10359 nt	9	72	human	8/2/93	8/13/18
Human lung-associated vientovirus FB	NC_055523	complete	-	-	3056 nt	3	52	human	6/1/21	6/8/21
Human mastadenovirus A	NC_001460	complete	strain:Huie; serotype:Human adenovirus 12; culture-collection:ATCC:VR-863	-	34125 nt	36	3	"human, vertebrates"	7/6/93	12/20/20
Human mastadenovirus B	-	complete	strain:Slobitski; type:2; type:Ad11p; serotype:Human adenovirus 11; culture-collection:ATCC:VR-12	2	70137 nt	77	-	"human, vertebrates"	9/4/08	12/20/20
Human mastadenovirus C	NC_001405	complete	serotype:Human adenovirus 2	-	35937 nt	38	120	"human, vertebrates"	4/27/93	8/13/18
Human mastadenovirus D	NC_010956	complete	strain:Hicks; NIAID V-209-003-014; serotype:Human adenovirus 9	-	35083 nt	38	166	"human, vertebrates"	6/12/08	12/20/20
Human mastadenovirus E	NC_003266	complete	strain:vaccine (CL 68578); serotype:human adenovirus 4	-	35994 nt	37	73	"human, vertebrates"	11/27/01	12/20/20
Human mastadenovirus F	NC_001454	complete	strain:Dugan; serotype:Human adenovirus 40	-	34214 nt	34	15	"human, vertebrates"	7/26/93	12/20/20
Human orthorubulavirus 2	NC_003443	complete	-	-	15646 nt	7	69	"human, vertebrates"	7/10/91	8/13/18
Human papillomavirus	NC_027779	complete	isolate:SE379	-	7320 nt	6	23	human	8/24/15	8/13/18
Human papillomavirus 109	NC_012485	complete	-	-	7346 nt	7	9	human	3/31/09	8/13/18
Human papillomavirus 116	NC_013035	complete	strain:HPV116	-	7184 nt	7	4	human	7/28/09	8/13/18
Human papillomavirus 121	NC_014185	complete	type:121; isolate:NJ3301	-	7342 nt	7	2	human	6/2/10	8/13/18
Human papillomavirus 126	NC_016157	complete	strain:HPV126	-	7326 nt	7	3	human	11/29/11	8/13/18
Human papillomavirus 127	NC_014469	complete	isolate:R3a	-	7181 nt	7	8	human	8/25/10	8/13/18
Human papillomavirus 132	NC_014955	complete	isolate:27-50	-	7125 nt	7	8	human	1/24/11	8/13/18
Human papillomavirus 134	NC_014956	complete	isolate:39-65	-	7309 nt	7	9	human	1/24/11	6/4/19
Human papillomavirus 135	NC_017993	complete	isolate:NJ3500	-	7293 nt	7	5	human	6/4/12	8/13/18
Human papillomavirus 136	NC_017994	complete	isolate:CL3865	-	7319 nt	7	3	human	6/4/12	8/13/18
Human papillomavirus 140	NC_017996	complete	isolate:NJ2801C1	-	7341 nt	7	3	human	6/4/12	8/13/18
Human papillomavirus 144	NC_017997	complete	isolate:CL3740	-	7271 nt	7	-	human	6/4/12	8/13/18
Human papillomavirus 154	NC_021483	complete	isolate:PV77	-	7286 nt	7	3	human	6/17/13	8/13/18
Human papillomavirus 156	NC_033781	complete	isolate:GC01	-	7329 nt	7	3	human	2/24/17	8/13/18
Human papillomavirus 16	NC_001526	complete	-	-	7906 nt	9	5085	human	8/2/93	8/13/18
Human papillomavirus 167	NC_022892	complete	isolate:KC10	-	7228 nt	6	-	human	11/26/13	8/13/18
Human papillomavirus 172	NC_038523	complete	-	-	7203 nt	7	10	human	8/24/18	8/24/18
Human papillomavirus 175	NC_038524	complete	type:175; isolate:SE87	-	7226 nt	7	2	human	8/24/18	8/24/18
Human papillomavirus 178	NC_023891	complete	-	-	7314 nt	7	7	human	4/7/14	8/13/18
Human papillomavirus 179	NC_022095	complete	isolate:SIBX16	-	7228 nt	6	5	human	8/14/13	8/13/18
Human papillomavirus 184	NC_038914	complete	isolate:SIBX17	-	7324 nt	6	1	human	10/22/13	8/24/18
Human papillomavirus 187	NC_039086	complete	isolate:ACS447	-	7268 nt	6	-	human	8/24/18	8/24/18
Human papillomavirus 201	NC_027528	complete	isolate:HPV201	-	7291 nt	7	-	human	7/20/15	8/13/18
Human papillomavirus 204	NC_038525	complete	isolate:A342	-	7227 nt	7	-	human	8/24/18	8/24/18
Human papillomavirus 4	NC_001457	complete	-	-	7353 nt	7	1	human	6/15/93	8/13/18
Human papillomavirus 5	NC_001531	complete	-	-	7746 nt	8	11	"human, vertebrates"	8/2/93	8/13/18
Human papillomavirus 9	NC_001596	complete	-	-	7434 nt	7	15	"human, vertebrates"	8/22/93	8/13/18
Human papillomavirus KC5	NC_026946	complete	isolate:KC5	-	7143 nt	7	-	human	5/5/15	8/13/18
Human papillomavirus type 161	NC_038522	complete	isolate:KC1	-	7238 nt	6	2	human	8/24/18	8/24/18
Human papillomavirus type 26	NC_001583	complete	-	-	7855 nt	6	92	human	8/22/93	8/13/18
Human papillomavirus type 32	NC_001586	complete	-	-	7961 nt	6	30	human	8/22/93	8/13/18
Human papillomavirus type 34	NC_001587	complete	-	-	7723 nt	6	46	human	8/22/93	8/13/18
Human papillomavirus type 41	NC_001354	complete	-	-	7614 nt	11	-	human	6/14/91	8/13/18
Human papillomavirus type 48	NC_001690	complete	-	-	7100 nt	7	-	human	10/17/95	8/13/18
Human papillomavirus type 49	NC_001591	complete	-	-	7560 nt	6	1	human	8/22/93	8/13/18
