gotu	covered_length	total_length	coverage_ratio	strain
G000012825	4830254	5163189	0.9355175648228256	d__Bacteria; p__ Bacteroidota; c__ Bacteroidia; o__ Bacteroidales; f__ Bacteroidaceae; g__ Phocaeicola; s__ Phocaeicola vulgatus
G000598965	4816292	5063642	0.9511517599387951	d__Bacteria; p__ Bacteroidota; c__ Bacteroidia; o__ Bacteroidales; f__ Bacteroidaceae; g__ Bacteroides; s__ Bacteroides fragilis
G001066585	4790341	5356759	0.8942610634527333	d__Bacteria; p__ Proteobacteria; c__ Gammaproteobacteria; o__ Enterobacterales; f__ Enterobacteriaceae; g__ Klebsiella; s__ Klebsiella pneumoniae
G001411495	4738327	8606005	0.5505838074693193	d__Bacteria; p__ Proteobacteria; c__ Gammaproteobacteria; o__ Burkholderiales; f__ Burkholderiaceae; g__ Burkholderia; s__ Burkholderia cepacia
G000215745	4711176	5280350	0.8922090391735397	d__Bacteria; p__ Proteobacteria; c__ Gammaproteobacteria; o__ Enterobacterales; f__ Enterobacteriaceae; g__ Klebsiella; s__ Klebsiella aerogenes
G000007145	4686194	5076188	0.9231718762189265	d__Bacteria; p__ Proteobacteria; c__ Gammaproteobacteria; o__ Xanthomonadales; f__ Xanthomonadaceae; g__ Xanthomonas; s__ Xanthomonas campestris
G000437995	4662590	5387274	0.8654822457517476	d__Bacteria; p__ Bacteroidota; c__ Bacteroidia; o__ Bacteroidales; f__ Bacteroidaceae; g__ Bacteroides; s__ Bacteroides thetaiotaomicron
G003762615	4583917	4906811	0.9341947346249937	d__Bacteria; p__ Bacteroidota; c__ Bacteroidia; o__ Bacteroidales; f__ Muribaculaceae; g__ CAG-485; s__ CAG-485 sp002493045
G009937725	4579211	5167877	0.8860913291860468	d__Bacteria; p__ Proteobacteria; c__ Gammaproteobacteria; o__ Enterobacterales; f__ Enterobacteriaceae; g__ Klebsiella; s__ Klebsiella aerogenes
G000299455	4467474	5437467	0.8216094001122214	d__Bacteria; p__ Proteobacteria; c__ Gammaproteobacteria; o__ Enterobacterales; f__ Enterobacteriaceae; g__ Escherichia; s__ Escherichia coli
G000159075	4442135	6920677	0.6418642280227786	d__Bacteria; p__ Bacteroidota; c__ Bacteroidia; o__ Bacteroidales; f__ Bacteroidaceae; g__ Bacteroides; s__ Bacteroides intestinigallinarum
G000154205	4415004	4719737	0.9354343261075776	d__Bacteria; p__ Bacteroidota; c__ Bacteroidia; o__ Bacteroidales; f__ Bacteroidaceae; g__ Bacteroides; s__ Bacteroides uniformis
G003611805	4412512	4825994	0.9143218992812673	d__Bacteria; p__ Firmicutes_A; c__ Clostridia; o__ Lachnospirales; f__ Lachnospiraceae; g__ UBA3282; s__ UBA3282 sp003611805
G007998125	4305228	5298958	0.8124669038705346	d__Bacteria; p__ Proteobacteria; c__ Gammaproteobacteria; o__ Enterobacterales; f__ Enterobacteriaceae; g__ Escherichia; s__ Escherichia coli
G000434095	4284496	4459908	0.9606691438478103	d__Bacteria; p__ Bacteroidota; c__ Bacteroidia; o__ Bacteroidales; f__ Bacteroidaceae; g__ Bacteroides; s__ Bacteroides fragilis
G008273775	4246520	5783951	0.7341901755391773	d__Bacteria; p__ Proteobacteria; c__ Gammaproteobacteria; o__ Enterobacterales; f__ Enterobacteriaceae; g__ Escherichia; s__ Escherichia coli
G001280145	4205076	6962317	0.6039765210345923	d__Bacteria; p__ Proteobacteria; c__ Alphaproteobacteria; o__ Rhizobiales; f__ Beijerinckiaceae; g__ Methylobacterium; s__ 
G000026325	4172523	5358240	0.7787114798889188	d__Bacteria; p__ Proteobacteria; c__ Gammaproteobacteria; o__ Enterobacterales; f__ Enterobacteriaceae; g__ Escherichia; s__ Escherichia coli
G000403215	4165331	6962676	0.5982370858560703	d__Bacteria; p__ Firmicutes_A; c__ Clostridia; o__ Lachnospirales; f__ Lachnospiraceae; g__ COE1; s__ COE1 sp000403215
G900066525	4160637	4931982	0.8436034438081891	d__Bacteria; p__ Firmicutes_A; c__ Clostridia; o__ Lachnospirales; f__ Lachnospiraceae; g__ Eisenbergiella; s__ 
G001283625	4129866	4747341	0.8699324527140562	d__Bacteria; p__ Proteobacteria; c__ Gammaproteobacteria; o__ Enterobacterales; f__ Enterobacteriaceae; g__ Escherichia; s__ Escherichia coli
G000019725	4075263	6899270	0.5906803183525213	d__Bacteria; p__ Proteobacteria; c__ Alphaproteobacteria; o__ Rhizobiales; f__ Beijerinckiaceae; g__ Methylobacterium; s__ Methylobacterium organophilum
G000008865	4017029	5594645	0.7180132072723113	d__Bacteria; p__ Proteobacteria; c__ Gammaproteobacteria; o__ Enterobacterales; f__ Enterobacteriaceae; g__ Escherichia; s__ Escherichia coli
G000403495	4010706	4572132	0.8772069572794486	d__Bacteria; p__ Firmicutes_A; c__ Clostridia; o__ Lachnospirales; f__ Lachnospiraceae; g__ CAG-95; s__ CAG-95 sp000403495
G000026345	3999262	5132068	0.7792690977594218	d__Bacteria; p__ Proteobacteria; c__ Gammaproteobacteria; o__ Enterobacterales; f__ Enterobacteriaceae; g__ Escherichia; s__ Escherichia coli
G000012845	3966693	4811379	0.8244399370741735	d__Bacteria; p__ Bacteroidota; c__ Bacteroidia; o__ Bacteroidales; f__ Tannerellaceae; g__ Parabacteroides; s__ Parabacteroides distasonis
G000196015	3951694	6913412	0.5715982209652773	d__Bacteria; p__ Proteobacteria; c__ Gammaproteobacteria; o__ Burkholderiales; f__ Burkholderiaceae; g__ Cupriavidus; s__ Cupriavidus metallidurans
G000006925	3821461	4828840	0.7913828165770661	d__Bacteria; p__ Proteobacteria; c__ Gammaproteobacteria; o__ Enterobacterales; f__ Enterobacteriaceae; g__ Escherichia; s__ Escherichia coli
G000183345	3811682	4894899	0.7787049334419361	d__Bacteria; p__ Proteobacteria; c__ Gammaproteobacteria; o__ Enterobacterales; f__ Enterobacteriaceae; g__ Escherichia; s__ Escherichia coli
G000438035	3788673	3842576	0.9859721707521204	d__Bacteria; p__ Bacteroidota; c__ Bacteroidia; o__ Bacteroidales; f__ Bacteroidaceae; g__ Phocaeicola; s__ Phocaeicola vulgatus
G000694955	3769038	4852476	0.7767247071392007	d__Bacteria; p__ Proteobacteria; c__ Gammaproteobacteria; o__ Enterobacterales; f__ Enterobacteriaceae; g__ Enterobacter; s__ Enterobacter hormaechei_A
G009917455	3765508	5512221	0.6831199257068975	d__Bacteria; p__ Firmicutes_A; c__ Clostridia; o__ Lachnospirales; f__ Lachnospiraceae; g__ CAG-95; s__ CAG-95 sp009917455
G001318345	3753259	7084828	0.5297600732156095	d__Bacteria; p__ Bacteroidota; c__ Bacteroidia; o__ Bacteroidales; f__ Bacteroidaceae; g__ Bacteroides; s__ Bacteroides cellulosilyticus
G000219605	3730328	4547930	0.8202254652116457	d__Bacteria; p__ Proteobacteria; c__ Gammaproteobacteria; o__ Pseudomonadales; f__ Pseudomonadaceae; g__ Pseudomonas_A; s__ Pseudomonas_A stutzeri
G012357415	3616759	4938256	0.7323960118713975	d__Bacteria; p__ Proteobacteria; c__ Gammaproteobacteria; o__ Enterobacterales; f__ Enterobacteriaceae; g__ Escherichia; s__ Escherichia coli
G000711965	3567597	4027792	0.8857450930931885	d__Bacteria; p__ Actinobacteriota; c__ Actinomycetia; o__ Actinomycetales; f__ Actinomycetaceae; g__ Actinomyces; s__ Actinomyces israelii
G000455825	3492376	4002100	0.8726358661702606	d__Bacteria; p__ Actinobacteriota; c__ Actinomycetia; o__ Actinomycetales; f__ Microbacteriaceae; g__ Microbacterium; s__ Microbacterium maritypicum_A
G000403315	3490507	5239109	0.6662405764033541	d__Bacteria; p__ Firmicutes_A; c__ Clostridia; o__ Lachnospirales; f__ Lachnospiraceae; g__ 14-2; s__ 14-2 sp000403315
G000241465	3470063	4265036	0.8136069660373324	d__Bacteria; p__ Proteobacteria; c__ Alphaproteobacteria; o__ Sphingomonadales; f__ Sphingomonadaceae; g__ Sphingomonas; s__ Sphingomonas echinoides
G001075215	3469811	5574775	0.622412743115193	d__Bacteria; p__ Firmicutes; c__ Bacilli; o__ Staphylococcales; f__ Staphylococcaceae; g__ Staphylococcus; s__ Staphylococcus haemolyticus
G000429225	3456160	3533193	0.9781973416113979	d__Bacteria; p__ Actinobacteriota; c__ Actinomycetia; o__ Actinomycetales; f__ Actinomycetaceae; g__ Actinomyces; s__ Actinomyces dentalis
G000012005	3446207	4560951	0.7555895689298131	d__Bacteria; p__ Proteobacteria; c__ Gammaproteobacteria; o__ Enterobacterales; f__ Enterobacteriaceae; g__ Escherichia; s__ Escherichia coli
G004803915	3416464	3691248	0.9255579684702843	d__Bacteria; p__ Bacteroidota; c__ Bacteroidia; o__ Bacteroidales; f__ Muribaculaceae; g__ Duncaniella; s__ Duncaniella dubosii
G004102775	3405478	3838483	0.8871937168928454	d__Bacteria; p__ Bacteroidota; c__ Bacteroidia; o__ Bacteroidales; f__ Muribaculaceae; g__ CAG-485; s__ CAG-485 sp002362485
G000967305	3366044	4248704	0.7922519431807912	d__Bacteria; p__ Proteobacteria; c__ Gammaproteobacteria; o__ Burkholderiales; f__ Burkholderiaceae; g__ Alcaligenes; s__ Alcaligenes faecalis
G001406335	3341920	3880152	0.8612858465338471	d__Bacteria; p__ Firmicutes_A; c__ Clostridia; o__ Lachnospirales; f__ Lachnospiraceae; g__ Fusicatenibacter; s__ Fusicatenibacter saccharivorans
G000277715	3319988	3449360	0.9624939119140942	d__Bacteria; p__ Actinobacteriota; c__ Actinomycetia; o__ Propionibacteriales; f__ Propionibacteriaceae; g__ Arachnia; s__ Arachnia propionica
G000269805	3315649	3371274	0.983500302852868	d__Bacteria; p__ Actinobacteriota; c__ Actinomycetia; o__ Actinomycetales; f__ Actinomycetaceae; g__ Actinomyces; s__ Actinomyces massiliensis
G000436135	3307926	3752382	0.8815536371296953	d__Bacteria; p__ Bacteroidota; c__ Bacteroidia; o__ Bacteroidales; f__ Bacteroidaceae; g__ Phocaeicola; s__ Phocaeicola dorei
G001630765	3272581	3506492	0.9332920194884232	d__Bacteria; p__ Actinobacteriota; c__ Actinomycetia; o__ Mycobacteriales; f__ Mycobacteriaceae; g__ Dietzia; s__ Dietzia cinnamea
G900106985	3252805	3962289	0.8209408753374627	d__Bacteria; p__ Bacteroidota; c__ Bacteroidia; o__ Chitinophagales; f__ Chitinophagaceae; g__ Sediminibacterium; s__ Sediminibacterium magnilacihabitans
G000022305	3245910	3796573	0.8549578791188791	d__Bacteria; p__ Proteobacteria; c__ Gammaproteobacteria; o__ Burkholderiales; f__ Burkholderiaceae; g__ Diaphorobacter; s__ Diaphorobacter nitroreducens
G000314575	3240985	3665481	0.8841909151895754	d__Bacteria; p__ Actinobacteriota; c__ Actinomycetia; o__ Actinomycetales; f__ Brevibacteriaceae; g__ Brevibacterium; s__ Brevibacterium casei
G000429265	3211234	3420559	0.9388038621757437	d__Bacteria; p__ Actinobacteriota; c__ Actinomycetia; o__ Actinomycetales; f__ Actinomycetaceae; g__ Actinomyces; s__ Actinomyces gerencseriae
G000466245	3146259	3333011	0.9439689818005401	d__Bacteria; p__ Actinobacteriota; c__ Actinomycetia; o__ Actinomycetales; f__ Actinomycetaceae; g__ Actinomyces; s__ Actinomyces johnsonii
G000403455	3112253	6147391	0.506272173024296	d__Bacteria; p__ Firmicutes_A; c__ Clostridia; o__ Lachnospirales; f__ Lachnospiraceae; g__ Sporofaciens; s__ Sporofaciens sp000403455
G001643095	3106705	7023017	0.44236045562754583	d__Bacteria; p__ Proteobacteria; c__ Alphaproteobacteria; o__ Rhizobiales; f__ Beijerinckiaceae; g__ Methylobacterium; s__ Methylobacterium thiocyanatum
G003324125	3081915	3512921	0.8773083710109052	d__Bacteria; p__ Firmicutes_A; c__ Clostridia; o__ Oscillospirales; f__ Ruminococcaceae; g__ Gemmiger; s__ Gemmiger qucibialis
G000186425	3033008	3152065	0.9622288880464077	d__Bacteria; p__ Proteobacteria; c__ Gammaproteobacteria; o__ Burkholderiales; f__ Burkholderiaceae; g__ Lautropia; s__ Lautropia mirabilis
G004102785	2991339	3314217	0.9025778939640947	d__Bacteria; p__ Bacteroidota; c__ Bacteroidia; o__ Bacteroidales; f__ Muribaculaceae; g__ UBA7173; s__ UBA7173 sp002491305
G001553935	2987651	3042917	0.9818378220635002	d__Bacteria; p__ Actinobacteriota; c__ Actinomycetia; o__ Actinomycetales; f__ Actinomycetaceae; g__ Actinomyces; s__ Actinomyces oris_A
G000020605	2969939	3449685	0.860930490754953	d__Bacteria; p__ Firmicutes_A; c__ Clostridia; o__ Lachnospirales; f__ Lachnospiraceae; g__ Agathobacter; s__ Agathobacter rectalis
G000019945	2968867	5849037	0.507582188315786	d__Bacteria; p__ Proteobacteria; c__ Alphaproteobacteria; o__ Rhizobiales; f__ Beijerinckiaceae; g__ Methylobacterium; s__ Methylobacterium thiocyanatum
G000210575	2966353	3763317	0.7882283102911607	d__Bacteria; p__ Bacteroidota; c__ Bacteroidia; o__ Bacteroidales; f__ Rikenellaceae; g__ Alistipes; s__ Alistipes shahii
G000156535	2960365	4413395	0.6707681954595045	d__Bacteria; p__ Firmicutes_A; c__ Clostridia; o__ Lachnospirales; f__ Lachnospiraceae; g__ Roseburia; s__ Roseburia intestinalis
G004792675	2959634	3238930	0.9137690533602146	d__Bacteria; p__ Bacteroidota; c__ Bacteroidia; o__ Bacteroidales; f__ Muribaculaceae; g__ Muribaculum; s__ Muribaculum intestinale
G000311925	2938488	3163735	0.928803455409508	d__Bacteria; p__ Bacteroidota; c__ Bacteroidia; o__ Bacteroidales; f__ Rikenellaceae; g__ Alistipes; s__ Alistipes communis
G004803695	2893107	3430502	0.8433479997971143	d__Bacteria; p__ Bacteroidota; c__ Bacteroidia; o__ Bacteroidales; f__ Muribaculaceae; g__ Muribaculum; s__ Muribaculum gordoncarteri
G004102805	2882612	3298733	0.8738542949671889	d__Bacteria; p__ Bacteroidota; c__ Bacteroidia; o__ Bacteroidales; f__ Muribaculaceae; g__ UBA7173; s__ UBA7173 sp004102805
G000162015	2847327	3090729	0.9212477056383785	d__Bacteria; p__ Firmicutes_A; c__ Clostridia; o__ Oscillospirales; f__ Ruminococcaceae; g__ Faecalibacterium; s__ Faecalibacterium prausnitzii_C
G000175375	2799358	2856128	0.9801234398458333	d__Bacteria; p__ Actinobacteriota; c__ Actinomycetia; o__ Mycobacteriales; f__ Mycobacteriaceae; g__ Corynebacterium; s__ Corynebacterium matruchotii
G000265365	2797396	3734239	0.74912077132717	d__Bacteria; p__ Bacteroidota; c__ Bacteroidia; o__ Bacteroidales; f__ Rikenellaceae; g__ Alistipes; s__ Alistipes finegoldii
G000220835	2780408	2828392	0.9830348834249284	d__Bacteria; p__ Actinobacteriota; c__ Actinomycetia; o__ Actinomycetales; f__ Actinomycetaceae; g__ Actinomyces; s__ Actinomyces sp000220835
G000295095	2779121	2933004	0.9475339958622627	d__Bacteria; p__ Actinobacteriota; c__ Actinomycetia; o__ Actinomycetales; f__ Actinomycetaceae; g__ Actinomyces; s__ Actinomyces timonensis
G001484935	2758123	4081489	0.675763918511112	d__Bacteria; p__ Proteobacteria; c__ Gammaproteobacteria; o__ Pseudomonadales; f__ Moraxellaceae; g__ Acinetobacter; s__ Acinetobacter johnsonii
G001689425	2757510	3135776	0.8793708479177084	d__Bacteria; p__ Bacteroidota; c__ Bacteroidia; o__ Bacteroidales; f__ Muribaculaceae; g__ Duncaniella; s__ Duncaniella dubosii
G003762875	2717724	3422698	0.7940297391122442	d__Bacteria; p__ Bacteroidota; c__ Bacteroidia; o__ Bacteroidales; f__ Muribaculaceae; g__ Duncaniella; s__ Duncaniella sp001689575
G900542435	2698702	2844389	0.948780915690505	d__Bacteria; p__ Firmicutes_A; c__ Clostridia; o__ Christensenellales; f__ CAG-74; g__ UBA11524; s__ UBA11524 sp000437595
G001275345	2678990	2854447	0.9385320519175868	d__Bacteria; p__ Actinobacteriota; c__ Actinomycetia; o__ Actinomycetales; f__ Micrococcaceae; g__ Kocuria; s__ Kocuria palustris
G003762715	2672625	2838697	0.9414971023677412	d__Bacteria; p__ Bacteroidota; c__ Bacteroidia; o__ Bacteroidales; f__ Muribaculaceae; g__ Paramuribaculum; s__ Paramuribaculum sp001689565
G001915455	2667269	4885368	0.5459709483502574	d__Bacteria; p__ Bacteroidota; c__ Bacteroidia; o__ Bacteroidales; f__ Bacteroidaceae; g__ Bacteroides; s__ Bacteroides caccae
G000318135	2641758	2809956	0.9401421232218583	d__Bacteria; p__ Actinobacteriota; c__ Actinomycetia; o__ Mycobacteriales; f__ Mycobacteriaceae; g__ Corynebacterium; s__ Corynebacterium durum
G902363055	2635764	3012728	0.8748761919429833	d__Bacteria; p__ Firmicutes_A; c__ Clostridia; o__ Oscillospirales; f__ Ruminococcaceae; g__ Gemmiger; s__ Gemmiger formicilis
G009727125	2629179	7460093	0.3524324696756461	d__Bacteria; p__ Proteobacteria; c__ Gammaproteobacteria; o__ Pseudomonadales; f__ Pseudomonadaceae; g__ Pseudomonas; s__ Pseudomonas aeruginosa
G000191145	2627475	3862530	0.6802471437115052	d__Bacteria; p__ Proteobacteria; c__ Gammaproteobacteria; o__ Pseudomonadales; f__ Moraxellaceae; g__ Acinetobacter; s__ Acinetobacter pittii
G001713665	2624903	3849044	0.6819623262295781	d__Bacteria; p__ Proteobacteria; c__ Gammaproteobacteria; o__ Pseudomonadales; f__ Moraxellaceae; g__ Acinetobacter; s__ Acinetobacter pittii
G003762745	2616788	3105839	0.8425381998229786	d__Bacteria; p__ Bacteroidota; c__ Bacteroidia; o__ Bacteroidales; f__ Muribaculaceae; g__ Paramuribaculum; s__ Paramuribaculum intestinale
G000701705	2611595	4634382	0.5635260537435196	d__Bacteria; p__ Desulfobacterota_I; c__ Desulfovibrionia; o__ Desulfovibrionales; f__ Desulfovibrionaceae; g__ Bilophila; s__ Bilophila wadsworthia
G000204235	2598666	2623710	0.9904547377568405	d__Bacteria; p__ Actinobacteriota; c__ Actinomycetia; o__ Propionibacteriales; f__ Propionibacteriaceae; g__ Cutibacterium; s__ Cutibacterium modestum
G001915695	2595660	2873413	0.9033369028399328	d__Bacteria; p__ Firmicutes_A; c__ Clostridia; o__ Lachnospirales; f__ Lachnospiraceae; g__ Fusicatenibacter; s__ Fusicatenibacter saccharivorans
G000307375	2585023	4629161	0.558421493657274	d__Bacteria; p__ Bacteroidota; c__ Bacteroidia; o__ Bacteroidales; f__ Tannerellaceae; g__ Parabacteroides; s__ Parabacteroides johnsonii
G009774765	2581589	2649180	0.9744860673868895	d__Bacteria; p__ Bacteroidota; c__ Bacteroidia; o__ Bacteroidales; f__ UBA932; g__ Cryptobacteroides; s__ Cryptobacteroides sp009774765
G000431875	2572120	2834002	0.9075928669069394	d__Bacteria; p__ Firmicutes_A; c__ Clostridia; o__ Lachnospirales; f__ Lachnospiraceae; g__ Eisenbergiella; s__ Eisenbergiella sp900066775
G000008345	2560270	2560265	1.0000019529228419	d__Bacteria; p__ Actinobacteriota; c__ Actinomycetia; o__ Propionibacteriales; f__ Propionibacteriaceae; g__ Cutibacterium; s__ Cutibacterium acnes
G001917295	2544518	2967198	0.8575491086203213	d__Bacteria; p__ Verrucomicrobiota; c__ Verrucomicrobiae; o__ Verrucomicrobiales; f__ Akkermansiaceae; g__ Akkermansia; s__ Akkermansia muciniphila
G000763765	2539493	2640035	0.9619164139869357	d__Bacteria; p__ Actinobacteriota; c__ Actinomycetia; o__ Actinomycetales; f__ Micrococcaceae; g__ Rothia; s__ Rothia aeria
G000633215	2522551	3618687	0.6970901324154314	d__Bacteria; p__ Actinobacteriota; c__ Actinomycetia; o__ Actinomycetales; f__ Microbacteriaceae; g__ Microbacterium; s__ Microbacterium sp001595495
G001404455	2517861	3732844	0.6745154632767938	d__Bacteria; p__ Firmicutes_A; c__ Clostridia; o__ Lachnospirales; f__ Lachnospiraceae; g__ Blautia_A; s__ Blautia_A wexlerae
G001068545	2512691	2533863	0.991644378563482	d__Bacteria; p__ Firmicutes; c__ Bacilli; o__ Staphylococcales; f__ Staphylococcaceae; g__ Staphylococcus; s__ Staphylococcus epidermidis
G001310795	2505076	3034452	0.825544777112968	d__Bacteria; p__ Proteobacteria; c__ Gammaproteobacteria; o__ Burkholderiales; f__ Burkholderiaceae; g__ Diaphorobacter; s__ Diaphorobacter nitroreducens
G000145515	2503635	2505892	0.9990993227162224	d__Bacteria; p__ Actinobacteriota; c__ Actinomycetia; o__ Propionibacteriales; f__ Propionibacteriaceae; g__ Cutibacterium; s__ Cutibacterium acnes
G000156595	2503459	2810409	0.890781021552379	d__Bacteria; p__ Actinobacteriota; c__ Actinomycetia; o__ Mycobacteriales; f__ Mycobacteriaceae; g__ Corynebacterium; s__ Corynebacterium glucuronolyticum
G000144735	2503335	2504140	0.9996785323504277	d__Bacteria; p__ Actinobacteriota; c__ Actinomycetia; o__ Propionibacteriales; f__ Propionibacteriaceae; g__ Cutibacterium; s__ Cutibacterium acnes
G000007645	2498057	2564735	0.9740019924085724	d__Bacteria; p__ Firmicutes; c__ Bacilli; o__ Staphylococcales; f__ Staphylococcaceae; g__ Staphylococcus; s__ Staphylococcus epidermidis
G001471555	2491820	2602612	0.9574304583241758	d__Bacteria; p__ Firmicutes; c__ Bacilli; o__ Staphylococcales; f__ Staphylococcaceae; g__ Staphylococcus; s__ Staphylococcus capitis
G000186205	2491116	2542945	0.9796185131805839	d__Bacteria; p__ Firmicutes; c__ Bacilli; o__ Staphylococcales; f__ Staphylococcaceae; g__ Staphylococcus; s__ Staphylococcus epidermidis
G000010125	2488996	2577939	0.9654984078366478	d__Bacteria; p__ Firmicutes; c__ Bacilli; o__ Staphylococcales; f__ Staphylococcaceae; g__ Staphylococcus; s__ Staphylococcus saprophyticus
G000144405	2482679	3168302	0.7835992275988842	d__Bacteria; p__ Bacteroidota; c__ Bacteroidia; o__ Bacteroidales; f__ Bacteroidaceae; g__ Prevotella; s__ Prevotella melaninogenica
G000145555	2476186	2476721	0.9997839885881373	d__Bacteria; p__ Actinobacteriota; c__ Actinomycetia; o__ Propionibacteriales; f__ Propionibacteriaceae; g__ Cutibacterium; s__ Cutibacterium acnes
G900113395	2473229	2475023	0.9992751582510546	d__Bacteria; p__ Firmicutes; c__ Bacilli; o__ Staphylococcales; f__ Staphylococcaceae; g__ Staphylococcus; s__ Staphylococcus epidermidis
G000020225	2471603	2664102	0.9277433821978288	d__Bacteria; p__ Verrucomicrobiota; c__ Verrucomicrobiae; o__ Verrucomicrobiales; f__ Akkermansiaceae; g__ Akkermansia; s__ Akkermansia muciniphila
G000438275	2471139	2673270	0.9243881089452244	d__Bacteria; p__ Firmicutes_A; c__ Clostridia; o__ Lachnospirales; f__ Lachnospiraceae; g__ Fusicatenibacter; s__ Fusicatenibacter saccharivorans
G000154525	2456658	4010149	0.6126101548845193	d__Bacteria; p__ Bacteroidota; c__ Bacteroidia; o__ Bacteroidales; f__ Bacteroidaceae; g__ Bacteroides; s__ Bacteroides stercoris
G000436395	2452580	2723428	0.900548867089565	d__Bacteria; p__ Verrucomicrobiota; c__ Verrucomicrobiae; o__ Verrucomicrobiales; f__ Akkermansiaceae; g__ Akkermansia; s__ Akkermansia muciniphila
G000221145	2429137	2431652	0.9989657237137551	d__Bacteria; p__ Actinobacteriota; c__ Actinomycetia; o__ Propionibacteriales; f__ Propionibacteriaceae; g__ Cutibacterium; s__ Cutibacterium namnetense
G000723745	2428039	2664738	0.9111736313288586	d__Bacteria; p__ Verrucomicrobiota; c__ Verrucomicrobiae; o__ Verrucomicrobiales; f__ Akkermansiaceae; g__ Akkermansia; s__ Akkermansia muciniphila
G000245655	2422225	2482552	0.975699602666933	d__Bacteria; p__ Firmicutes; c__ Bacilli; o__ Staphylococcales; f__ Staphylococcaceae; g__ Staphylococcus; s__ Staphylococcus epidermidis
G001063255	2420804	2587655	0.9355203842861587	d__Bacteria; p__ Proteobacteria; c__ Gammaproteobacteria; o__ Burkholderiales; f__ Neisseriaceae; g__ Neisseria; s__ Neisseria mucosa
G011960185	2418923	2642227	0.9154864438218215	d__Bacteria; p__ Bacteroidota; c__ Bacteroidia; o__ Bacteroidales; f__ Bacteroidaceae; g__ Alloprevotella; s__ Alloprevotella sp002933955
G000433575	2412265	4508106	0.5350950044209253	d__Bacteria; p__ Bacteroidota; c__ Bacteroidia; o__ Bacteroidales; f__ Bacteroidaceae; g__ Bacteroides; s__ Bacteroides caccae
G000403275	2401798	4283655	0.5606889443711036	d__Bacteria; p__ Firmicutes_A; c__ Clostridia; o__ Lachnospirales; f__ Lachnospiraceae; g__ Kineothrix; s__ Kineothrix sp000403275
G000308395	2399756	2407604	0.9967403277283141	d__Bacteria; p__ Firmicutes; c__ Bacilli; o__ Staphylococcales; f__ Staphylococcaceae; g__ Staphylococcus; s__ Staphylococcus epidermidis
G000443975	2399623	2409937	0.995720220072143	d__Bacteria; p__ Firmicutes; c__ Bacilli; o__ Staphylococcales; f__ Staphylococcaceae; g__ Staphylococcus; s__ Staphylococcus epidermidis
