,faith_pd
Home: longitudinal,70620.84850139893
ISS: MT-1,15362.90618186213
Closed-habitat: NEEMO,24957.37579808357
Hospital: Post-occupation,62579.090958535
Hospital: Pre-occupation,53880.77681936394
Isolation Dorms: COVID-19,39296.78031326462
Home: Checherta (Jungle),56581.69602997518
Home: Iquitos (Town),66528.84056750867
Home: P. Almendras (Rural),60622.57481857849
Home: Manaus (Urban),62889.98104054516
Indoor Materials,24165.70880535187
Spacecraft Assembly Facility,21059.06712660241
Closed-habitat: HI-SEAS,30235.10253772661
Home: rural (LUKAS1),55025.48268457822
Home: suburban (LUKAS2),44982.67319024577
Office: geographical gradient,35597.55436321429
Home: Pre-occupation (HOMEChem),46769.30819742488
Home: Post-occupation (HOMEChem),52752.91187019458
Office: 3D map,54098.73200438626
Hospital: COVID-19,52634.4936308664
EMP: Host-associated,80527.49483852251
EMP: Free-living,129560.3782362959
ISS: 3DMM,25330.23568558252
Home: longitudinal,66038.38505942764
ISS: MT-1,16878.91213911996
Closed-habitat: NEEMO,24957.37579808357
Hospital: Post-occupation,70173.14830667937
Hospital: Pre-occupation,58346.55507273267
Isolation Dorms: COVID-19,33956.45024890846
Home: Checherta (Jungle),57085.15880778743
Home: Iquitos (Town),68776.28533240654
Home: P. Almendras (Rural),50478.24673474597
Home: Manaus (Urban),67915.61523528551
Indoor Materials,21092.82069199082
Spacecraft Assembly Facility,22081.93800813758
Closed-habitat: HI-SEAS,32323.69989101924
Home: rural (LUKAS1),51772.55109580798
Home: suburban (LUKAS2),46818.73084691944
Office: geographical gradient,46664.21372001262
Home: Pre-occupation (HOMEChem),46901.8285216896
Home: Post-occupation (HOMEChem),56258.53955415829
Office: 3D map,53338.1098073975
Hospital: COVID-19,52825.81030603448
EMP: Host-associated,81083.97550222208
EMP: Free-living,111006.3200759889
ISS: 3DMM,29464.95921439603
Home: longitudinal,68333.12596008678
ISS: MT-1,17092.56761857311
Closed-habitat: NEEMO,24957.37579808357
Hospital: Post-occupation,53428.81489278458
Hospital: Pre-occupation,51044.16488772097
Isolation Dorms: COVID-19,28673.18284954951
Home: Checherta (Jungle),63811.99456932277
Home: Iquitos (Town),68689.40644749968
Home: P. Almendras (Rural),55361.87200289076
Home: Manaus (Urban),63288.2687473687
Indoor Materials,20864.78078385662
Spacecraft Assembly Facility,24153.84725205788
Closed-habitat: HI-SEAS,27026.53025516166
Home: rural (LUKAS1),54805.30446225779
Home: suburban (LUKAS2),43138.91396494266
Office: geographical gradient,44551.86597638412
Home: Pre-occupation (HOMEChem),49872.15566621901
Home: Post-occupation (HOMEChem),54759.0256690114
Office: 3D map,54881.42221025267
Hospital: COVID-19,52017.59035575858
EMP: Host-associated,70639.63685217389
EMP: Free-living,125437.1254216735
ISS: 3DMM,28045.36983654908
Home: longitudinal,59062.18565496534
ISS: MT-1,16234.61075193674
Closed-habitat: NEEMO,24957.37579808357
Hospital: Post-occupation,66587.67790708454
Hospital: Pre-occupation,50270.53044003175
Isolation Dorms: COVID-19,37749.98016748872
Home: Checherta (Jungle),54119.31045227554
Home: Iquitos (Town),64450.16944055723
Home: P. Almendras (Rural),53477.22427464054
Home: Manaus (Urban),71805.92734444061
Indoor Materials,25886.78119200918
Spacecraft Assembly Facility,22427.46339077452
Closed-habitat: HI-SEAS,30213.56526085839
Home: rural (LUKAS1),58813.97956060286
Home: suburban (LUKAS2),46474.96284107393
Office: geographical gradient,32672.93220644335
Home: Pre-occupation (HOMEChem),47944.47285295009
Home: Post-occupation (HOMEChem),53091.87695099823
Office: 3D map,53750.16253458463
Hospital: COVID-19,53916.786799071
EMP: Host-associated,82061.36083873235
EMP: Free-living,121199.5388972243
ISS: 3DMM,27945.78404686563
Home: longitudinal,70856.19795891382
ISS: MT-1,17627.21734338329
Closed-habitat: NEEMO,24957.37579808357
Hospital: Post-occupation,56185.9135025053
Hospital: Pre-occupation,59260.75918857063
Isolation Dorms: COVID-19,42478.40093032403
Home: Checherta (Jungle),57157.16866804378
Home: Iquitos (Town),67965.63870307988
Home: P. Almendras (Rural),46493.92580866317
Home: Manaus (Urban),75315.356427632
Indoor Materials,18955.03990305854
Spacecraft Assembly Facility,20910.11005720782
Closed-habitat: HI-SEAS,28060.03846319795
Home: rural (LUKAS1),53121.21654107557
Home: suburban (LUKAS2),44592.94682526358
Office: geographical gradient,34437.4088183764
Home: Pre-occupation (HOMEChem),48517.55033663223
Home: Post-occupation (HOMEChem),55470.54032868228
Office: 3D map,50004.30248309067
Hospital: COVID-19,50306.19620795434
EMP: Host-associated,58678.27877709443
EMP: Free-living,132763.1400552488
ISS: 3DMM,27200.24968100809
Home: longitudinal,70316.77728121399
ISS: MT-1,16910.39413634267
Closed-habitat: NEEMO,24957.37579808357
Hospital: Post-occupation,59165.84251642907
Hospital: Pre-occupation,54280.02761536858
Isolation Dorms: COVID-19,41192.90926096577
Home: Checherta (Jungle),56648.25933144
Home: Iquitos (Town),70293.5506499298
Home: P. Almendras (Rural),52349.2902927183
Home: Manaus (Urban),64282.93394321088
Indoor Materials,22499.88051274633
Spacecraft Assembly Facility,22680.06335055854
Closed-habitat: HI-SEAS,32440.70449590099
Home: rural (LUKAS1),54422.2142115349
Home: suburban (LUKAS2),44293.98609435066
Office: geographical gradient,43730.77681880959
Home: Pre-occupation (HOMEChem),47326.16332316354
Home: Post-occupation (HOMEChem),59192.28337664681
Office: 3D map,51582.42871259944
Hospital: COVID-19,56243.77595602117
EMP: Host-associated,69627.41263351496
EMP: Free-living,130454.3232097325
ISS: 3DMM,25700.91379542247
Home: longitudinal,63963.31095627847
ISS: MT-1,15350.51772974494
Closed-habitat: NEEMO,24957.37579808357
Hospital: Post-occupation,65510.56607429383
Hospital: Pre-occupation,53540.01925647135
Isolation Dorms: COVID-19,43759.34557361642
Home: Checherta (Jungle),66542.65592092037
Home: Iquitos (Town),62962.27184099136
Home: P. Almendras (Rural),42826.35313142776
Home: Manaus (Urban),69508.6678773093
Indoor Materials,21719.77629540445
Spacecraft Assembly Facility,22327.01991478589
Closed-habitat: HI-SEAS,29489.84209791602
Home: rural (LUKAS1),54298.74255516124
Home: suburban (LUKAS2),48031.52683080926
Office: geographical gradient,28895.53698949865
Home: Pre-occupation (HOMEChem),49232.77644766326
Home: Post-occupation (HOMEChem),53797.63775011085
Office: 3D map,49327.49023422429
Hospital: COVID-19,52222.61861617917
EMP: Host-associated,76052.74424500481
EMP: Free-living,126951.3465850107
ISS: 3DMM,25224.74252980021
Home: longitudinal,66280.58216055966
ISS: MT-1,15655.83157013387
Closed-habitat: NEEMO,24957.37579808357
Hospital: Post-occupation,63904.58522065702
Hospital: Pre-occupation,52392.13519651724
Isolation Dorms: COVID-19,30993.30980011836
Home: Checherta (Jungle),62581.76428487978
Home: Iquitos (Town),64656.46111528746
Home: P. Almendras (Rural),59801.37997799694
Home: Manaus (Urban),65169.07950644756
Indoor Materials,23782.60690888771
Spacecraft Assembly Facility,22927.19736286231
Closed-habitat: HI-SEAS,30761.0763512261
Home: rural (LUKAS1),52312.28160767434
Home: suburban (LUKAS2),44882.3910464071
Office: geographical gradient,46634.87455303688
Home: Pre-occupation (HOMEChem),49077.62733223775
Home: Post-occupation (HOMEChem),55493.89587814149
Office: 3D map,48547.83392788983
Hospital: COVID-19,52776.13878046136
EMP: Host-associated,85475.44736676193
EMP: Free-living,122035.5072141013
ISS: 3DMM,28577.4223782952
Home: longitudinal,62199.15253426075
ISS: MT-1,17491.2816997647
Closed-habitat: NEEMO,24957.37579808357
Hospital: Post-occupation,56400.29751972267
Hospital: Pre-occupation,56718.50543032437
Isolation Dorms: COVID-19,36869.74392847726
Home: Checherta (Jungle),62992.25555619137
Home: Iquitos (Town),63040.86862384964
Home: P. Almendras (Rural),56899.07708970208
Home: Manaus (Urban),68281.25850088033
Indoor Materials,15010.41395483031
Spacecraft Assembly Facility,21881.15201493719
Closed-habitat: HI-SEAS,30057.78853538405
Home: rural (LUKAS1),53213.33795838107
Home: suburban (LUKAS2),46489.7752988346
Office: geographical gradient,33239.57641220292
Home: Pre-occupation (HOMEChem),47191.60471349234
Home: Post-occupation (HOMEChem),58134.45372692383
Office: 3D map,49543.43817766196
Hospital: COVID-19,56054.02466008693
EMP: Host-associated,71006.68278387857
EMP: Free-living,125673.3365207865
ISS: 3DMM,26273.2736701646
Home: longitudinal,65284.63492942551
ISS: MT-1,17375.46546775942
Closed-habitat: NEEMO,24957.37579808357
Hospital: Post-occupation,58608.2720114464
Hospital: Pre-occupation,65904.87829792895
Isolation Dorms: COVID-19,43503.13483183203
Home: Checherta (Jungle),56942.28187617851
Home: Iquitos (Town),66550.12930550867
Home: P. Almendras (Rural),55451.75200281804
Home: Manaus (Urban),69197.89341652323
Indoor Materials,27902.10265760122
Spacecraft Assembly Facility,22426.58584555721
Closed-habitat: HI-SEAS,28748.90193047853
Home: rural (LUKAS1),55395.04829146362
Home: suburban (LUKAS2),42460.31654274624
Office: geographical gradient,47390.51510383575
Home: Pre-occupation (HOMEChem),48724.34927211588
Home: Post-occupation (HOMEChem),54007.52209618493
Office: 3D map,52457.15684087977
Hospital: COVID-19,53013.62286358385
EMP: Host-associated,86463.13890786584
EMP: Free-living,121475.3725055543
ISS: 3DMM,26661.39347137643
Home: longitudinal,68069.70680479608
ISS: MT-1,16662.30996771213
Closed-habitat: NEEMO,24957.37579808357
Hospital: Post-occupation,54404.00574257416
Hospital: Pre-occupation,53743.69047076292
Isolation Dorms: COVID-19,45156.19296841011
Home: Checherta (Jungle),59471.76253904308
Home: Iquitos (Town),67690.35263496706
Home: P. Almendras (Rural),51683.32296857271
Home: Manaus (Urban),66243.98202811058
Indoor Materials,26669.90144448123
Spacecraft Assembly Facility,23722.41672263118
Closed-habitat: HI-SEAS,28589.26922276584
Home: rural (LUKAS1),53560.17259590016
Home: suburban (LUKAS2),46108.57443839147
Office: geographical gradient,44561.47809720496
Home: Pre-occupation (HOMEChem),49582.54424687605
Home: Post-occupation (HOMEChem),57083.68896627487
Office: 3D map,51285.20742995284
Hospital: COVID-19,57358.13478256492
EMP: Host-associated,71933.26739173851
EMP: Free-living,120414.6933942624
ISS: 3DMM,26861.79274566949
Home: longitudinal,69314.83501998942
ISS: MT-1,15186.95537133828
Closed-habitat: NEEMO,24957.37579808357
Hospital: Post-occupation,60319.72574822917
Hospital: Pre-occupation,54043.95559155751
Isolation Dorms: COVID-19,40751.93589078607
Home: Checherta (Jungle),63656.56797750004
Home: Iquitos (Town),64968.63796039674
Home: P. Almendras (Rural),53952.01396509229
Home: Manaus (Urban),65441.49814759422
Indoor Materials,23337.10436294646
Spacecraft Assembly Facility,20260.1072397324
Closed-habitat: HI-SEAS,28504.82522491467
Home: rural (LUKAS1),55304.23595695971
Home: suburban (LUKAS2),45024.18957547194
Office: geographical gradient,39693.64659101247
Home: Pre-occupation (HOMEChem),47606.40327543738
Home: Post-occupation (HOMEChem),53698.2192165196
Office: 3D map,51153.23263954579
Hospital: COVID-19,46736.93888618258
EMP: Host-associated,71901.303350984
EMP: Free-living,122346.1980920837
ISS: 3DMM,28746.7683571163
Home: longitudinal,71199.4297509775
ISS: MT-1,15784.41592103479
Closed-habitat: NEEMO,24957.37579808357
Hospital: Post-occupation,59045.23023228667
Hospital: Pre-occupation,57008.25010129723
Isolation Dorms: COVID-19,42923.21880571348
Home: Checherta (Jungle),59907.95532072643
Home: Iquitos (Town),65894.58136830355
Home: P. Almendras (Rural),57724.09379604799
Home: Manaus (Urban),68440.9478774115
Indoor Materials,21413.98411888075
Spacecraft Assembly Facility,20927.61962879381
Closed-habitat: HI-SEAS,27170.93463295529
Home: rural (LUKAS1),54455.13356441019
Home: suburban (LUKAS2),46456.01070391452
Office: geographical gradient,50964.42036930576
Home: Pre-occupation (HOMEChem),46446.98539791602
Home: Post-occupation (HOMEChem),58175.23962084684
Office: 3D map,55061.58593559513
Hospital: COVID-19,48410.9336482629
EMP: Host-associated,84159.63476476996
EMP: Free-living,123700.0666248893
ISS: 3DMM,28773.18394935982
Home: longitudinal,74450.98755662658
ISS: MT-1,15245.84815212955
Closed-habitat: NEEMO,24957.37579808357
Hospital: Post-occupation,55752.40309808024
Hospital: Pre-occupation,49926.15797436836
Isolation Dorms: COVID-19,38606.88879575762
Home: Checherta (Jungle),58619.13021250626
Home: Iquitos (Town),64756.23249241784
Home: P. Almendras (Rural),54112.25292587264
Home: Manaus (Urban),64473.6373936446
Indoor Materials,21514.82055150079
Spacecraft Assembly Facility,21614.97415213328
Closed-habitat: HI-SEAS,27471.47045772184
Home: rural (LUKAS1),52733.0158979761
Home: suburban (LUKAS2),45557.02315139543
Office: geographical gradient,28669.02264009027
Home: Pre-occupation (HOMEChem),47053.5863076565
Home: Post-occupation (HOMEChem),54396.58369326041
Office: 3D map,47940.2096406153
Hospital: COVID-19,49469.24076407473
EMP: Host-associated,79980.03559405843
EMP: Free-living,119352.932777936
ISS: 3DMM,28679.13529691963
Home: longitudinal,72665.34883157714
ISS: MT-1,16017.30466097931
Closed-habitat: NEEMO,24957.37579808357
Hospital: Post-occupation,67471.32251751082
Hospital: Pre-occupation,56272.09025637263
Isolation Dorms: COVID-19,49589.36991169192
Home: Checherta (Jungle),60296.04047927468
Home: Iquitos (Town),64908.874345036
Home: P. Almendras (Rural),54779.01659755917
Home: Manaus (Urban),66467.64795429568
Indoor Materials,26150.85134171613
Spacecraft Assembly Facility,22792.83086873779
